hotel,hotel_id,images-src,guests,bedroom,bath,price_per_night($),price_id,location,host,Hotel_rating,Hotel_ratingid,userName,userid,RatingbyUsers,userLocation,userCity,locationid,Comments,Crime Rate
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Robert,8,5,"Berlin, Germany",nill,1,We had a very pleasant stay at the apartment which offered all utilities we needed for our 1 week stay. Kashif offered a very flexible checkin which helped a lot with our early flight arriving at 5am in Islamabad. The modern heating unit is a big plus to get the apartment to desired temperatures. Mid-stay we had a minor issue with hot water supply which Kashif had promptly fixed. Change of towels and linens was also included as a complimentary offer. Overall Kashif did his best do make our stay as pleasant as possible and was always flexibly available for any questions we had.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Syyed,9,5,6 years on Airbnb,nill,1,"Everything was great, 
Highly recommended,
10/10.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Fawad,10,5,"London, United Kingdom",nill,1,great place and lovely stay. will definitely stay again.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Hannah,11,5,"Knoxville, Tennessee",United Kingdom,2,Kashif was an amazing host. The space was beautiful and comfortable. Qadeer was an excellent caretaker and was able to assist with anything I needed during my stay. I was worried about traveling alone in this area but always felt safe and secure. Kashif is very responsive and was able to provide helpful feedback as well regarding my stay in Islamabad. I would highly recommend booking here and would happily stay again!,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Sheikh,12,5,"Wah, Pakistan",nill,1,Stay was very excellent im so tired and want to sleep bed was very comfortable and the washroom is like you enjoy a 5star hotel very good experience i will definitely recommend,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-7,Hosted by Kashif Siddiq,5,0,Saif,13,5,6 years on Airbnb,nill,1,"it was a delightful stay and I would like to return for a longer period. we had some hot water issues and the host/team were able to sort it out asap. 
just a couple of things to improve upon; the bathroom door doesnt lock. might be a seasonal affect on the wood. secondly, a shower stall around the absolute lovely shower would be greatly appreciate. 
all in all, 11 out of 10 points!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Kamran,14,5,"Lahore, Pakistan",nill,1,"This is not just an ordinary room, it’s an experience. Although I had a short stay of one night only but would love to stay there for a weekend. The place is 100 % as depicted. Kitchen was 10/10 with all the utensils, room was fully decorated and the toilet was neat too. Cherry on top was the massager chair and humongous LED screen. 10/10 experience. I’ll definitely come again and enjoy this place because it’s an experience.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Ahmad,15,5,1 year on Airbnb,China,3,"It was an amazing and peaceful stay at this place. It just felt like home! The host is really nice n responsive. 
Highly recommended!!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,M,16,5,3 years on Airbnb,nill,1,very promot response n  place was up to the mark,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Zahir,17,5,"England, United Kingdom",nill,1,"Kashif place is an exceptionally nice residence.  Really helpful host always on call and ready to help. After 2 days I liked the place so much that I extended my stay.
Also Kashif assistant Qadeer is very helpful.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Nabeel,18,5,"Chicago, Illinois",United Kingdom,2,The host was very accommodating. I've stayed here before.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Junaid,19,5,United Kingdom,nill,1,Excellent location and the place was absolutely perfect. has no issues whatsoever and will definitely use again when I'm back next year,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-8,Hosted by Kashif Siddiq,5,0,Chana,20,5,"Suffern, New York",nill,1,"Kashif’s place was even better than the photos. It was spotless, comfortable and beautiful. The jacuzzi tub was a real treat. The apartment is outfitted with everything you need for a great stay. He was quick to respond to messages and is a very accommodating host.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Muhammad Hammad Ul,21,5,2 years on Airbnb,United Kingdom,2,"The place is neat and clean as it was always. It was my third stay and I felt just like at home. Kashif is also proactive, responsive, and friendly host. He always care about the comfort of host.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Imo,22,5,"Darmstadt, Germany",nill,1,"Thank you so much Kashif - I had the best stay in Islamabad.
I came from Germany with my family and we booked the whole house. I personally stayed at the studio apartment, which is in the ground floor. Everything was perfect. The equipment is very modern and great attention was paid to cleanliness. You will get anything, what you need from Kashif or the caretaker of the house. I would love to come back and can highly recommend this accommodation.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Saud,23,5,2 years on Airbnb,nill,1,"very good location. well managed, clean and makes sure that your every requirement is fulfilled. better than any 5 star hotel in town.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Muhammad Ashar,24,5,1 year on Airbnb,nill,1,I stayed at Kashif’s place for the second time and everything was amazing. He’s a great host and went out of his way to make our stay comfortable. I am definitely recommending this place to others as well.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Hamza,25,5,"Peterborough, United Kingdom",nill,1,Brilliant Place! Was spotless which was very surprising for me as you don’t get that in PK. Would definitely recommend to anyone who is coming to Islamabad. Kashif was very helpful through and through.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-6,Hosted by Kashif Siddiq,5,0,Roc,26,5,China,nill,1,The hosts are very hospitable. Because we are on the plane at 23:20 in the evening. Gave us late check out till 19:30pm. The internet is fast. You can watch YouTube and Netflix on the TV in the house. You can give your clothes to the waiter for washing.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Nabeel,18,5,3 years on Airbnb,nill,1,"Great host, great place to stay and very practical. Keep up the good work.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Imran,27,5,3 years on Airbnb,nill,1,"one of the best places that I have visited nothing.
everything was extremely good and clean best place best staff best host",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Saima,28,5,United Kingdom,nill,1,Neat and clean accomodation. Location wise this place is superb!,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Muhammad Ashar,24,5,1 year on Airbnb,nill,1,Loved to stay to Kashif’s place. I will definitely consider this place for my next trip as well.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Muhammad,0,5,"Boston, Massachusetts",Italy,4,everything was just perfect. felt right at home.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Laraib,1,5,2 years on Airbnb,nill,1,"Kashif was a great host! Responded very quickly, and was very accommodating to my needs/requests. Check-in instructions were super detailed and helpful. 
The apartment was very clean and well stocked. 
Well equipped and comfortable, spotlessly clean. Highly recommended!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-9,Hosted by Kashif Siddiq,5,0,Alexander Alfred,2,5,United Kingdom,nill,1,"This is be best airbnb experience I have ever had. The place was spacious, clean elegantly decorated and very comfortable. 
The host is warm and receptive, and made every effort to make my stay a comfortable one:
Do not come to Islamabad without staying here!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,B-17,Hosted by Kashif Siddiq,5,0,Ahmad Ali,29,5,1 year on Airbnb,nill,1,Peaceful and comfortable,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,B-17,Hosted by Kashif Siddiq,5,0,Haseeb,3,5,4 years on Airbnb,United Kingdom,2,Responsive owner!  Accommodating and helpful!,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,B-17,Hosted by Kashif Siddiq,5,0,Haseeb,3,5,4 years on Airbnb,United Kingdom,2,Amazing stay. Unique and a clean spot to stay when visiting islamabad!,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,B-17,Hosted by Kashif Siddiq,5,0,Hammas,30,5,New to Airbnb,nill,1,Perfect place to stay,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,B-17,Hosted by Kashif Siddiq,5,0,Ziyad,4,5,1 year on Airbnb,nill,1,"Upto the mark! I would've literally given 10 stars if i could
wonderful host, beautiful place! my permanent spot to stay whenever I'll be in Islamabad",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,D-17,Hosted by Kashif Siddiq,5,0,Sheraz,5,5,3 years on Airbnb,nill,1,"Great clean place and good location, check in was very smooth and great service provided by kashif sir whilst checking in. Highly recommended😊",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,D-17,Hosted by Kashif Siddiq,5,0,Hassan,6,5,"Houston, Texas",nill,1,"What a nice little den, felt right at home. Highly recommended! A little snacks or tea stuff would add icing on the cake.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,D-17,Hosted by Kashif Siddiq,5,0,Ziyad,4,5,1 year on Airbnb,nill,1,"Great place, elegant, beautiful and clean. Peaceful and quite area. I really had the best time staying here. And the icing on the cake is Kashif bhai. Really a great host, treated me as his brother. Definitely my permanent spot to stay whenever i visit Islamabad InshaAllah! Well worth the price.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,D-18,Hosted by Kashif Siddiq,5,0,Ossama,7,5,3 years on Airbnb,nill,1,"Great place to stay if you are Islamabad. Modern beautiful design, owner and caretaker very responsive and have all the amenities. Location wise is perfect too",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-11,Hosted by Kashif Siddiq,5,0,Robert,8,5,"Berlin, Germany",China,3,We had a very pleasant stay at the apartment which offered all utilities we needed for our 1 week stay. Kashif offered a very flexible checkin which helped a lot with our early flight arriving at 5am in Islamabad. The modern heating unit is a big plus to get the apartment to desired temperatures. Mid-stay we had a minor issue with hot water supply which Kashif had promptly fixed. Change of towels and linens was also included as a complimentary offer. Overall Kashif did his best do make our stay as pleasant as possible and was always flexibly available for any questions we had.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-11,Hosted by Kashif Siddiq,5,0,Syyed,9,5,6 years on Airbnb,nill,1,"Everything was great, 
Highly recommended,
10/10.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-11,Hosted by Kashif Siddiq,5,0,Fawad,10,5,"London, United Kingdom",nill,1,great place and lovely stay. will definitely stay again.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-11,Hosted by Kashif Siddiq,5,0,Hannah,11,5,"Knoxville, Tennessee",United Kingdom,2,Kashif was an amazing host. The space was beautiful and comfortable. Qadeer was an excellent caretaker and was able to assist with anything I needed during my stay. I was worried about traveling alone in this area but always felt safe and secure. Kashif is very responsive and was able to provide helpful feedback as well regarding my stay in Islamabad. I would highly recommend booking here and would happily stay again!,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-11,Hosted by Kashif Siddiq,5,0,Yasir,31,5,"Gujranwala, Pakistan",nill,1,It was good overall,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-10,Hosted by Kashif Siddiq,5,0,Sheikh,12,5,"Wah, Pakistan",Italy,4,Stay was very excellent im so tired and want to sleep bed was very comfortable and the washroom is like you enjoy a 5star hotel very good experience i will definitely recommend,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-13,Hosted by Kashif Siddiq,5,0,Javeria,32,5,Italy,Australia,5,Best place to stay,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-16,Hosted by Kashif Siddiq,5,0,Saif,13,5,6 years on Airbnb,nill,1,"it was a delightful stay and I would like to return for a longer period. we had some hot water issues and the host/team were able to sort it out asap. 
just a couple of things to improve upon; the bathroom door doesnt lock. might be a seasonal affect on the wood. secondly, a shower stall around the absolute lovely shower would be greatly appreciate. 
all in all, 11 out of 10 points!",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-16,Hosted by Kashif Siddiq,5,0,Kamran,14,5,"Lahore, Pakistan",United Kingdom,2,"This is not just an ordinary room, it’s an experience. Although I had a short stay of one night only but would love to stay there for a weekend. The place is 100 % as depicted. Kitchen was 10/10 with all the utensils, room was fully decorated and the toilet was neat too. Cherry on top was the massager chair and humongous LED screen. 10/10 experience. I’ll definitely come again and enjoy this place because it’s an experience.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,G-16,Hosted by Kashif Siddiq,5,0,Ahmad,15,5,1 year on Airbnb,nill,1,"It was an amazing and peaceful stay at this place. It just felt like home! The host is really nice n responsive. 
Highly recommended!!",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,H-13,Hosted by Kashif Siddiq,5,0,M,16,5,3 years on Airbnb,nill,1,very promot response n  place was up to the mark,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,H-13,Hosted by Kashif Siddiq,5,0,Zahir,17,5,"England, United Kingdom",nill,1,"Kashif place is an exceptionally nice residence.  Really helpful host always on call and ready to help. After 2 days I liked the place so much that I extended my stay.
Also Kashif assistant Qadeer is very helpful.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-10,Hosted by Kashif Siddiq,5,0,Nabeel,18,5,"Chicago, Illinois",nill,1,"great host, great place!",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-10,Hosted by Kashif Siddiq,5,0,Nabeel,18,5,"Chicago, Illinois",nill,1,The host was very accommodating. I've stayed here before.,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-10,Hosted by Kashif Siddiq,5,0,Junaid,19,5,United Kingdom,South Korea,6,Excellent location and the place was absolutely perfect. has no issues whatsoever and will definitely use again when I'm back next year,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-10,Hosted by Kashif Siddiq,5,0,Roha,33,5,United Kingdom,nill,1,Recommended,medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-11,Hosted by Kashif Siddiq,5,0,Chana,20,5,"Suffern, New York",nill,1,"Kashif’s place was even better than the photos. It was spotless, comfortable and beautiful. The jacuzzi tub was a real treat. The apartment is outfitted with everything you need for a great stay. He was quick to respond to messages and is a very accommodating host.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-11,Hosted by Kashif Siddiq,5,0,Muhammad Hammad Ul,21,5,2 years on Airbnb,nill,1,"The place is neat and clean as it was always. It was my third stay and I felt just like at home. Kashif is also proactive, responsive, and friendly host. He always care about the comfort of host.",medium
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,I-11,Hosted by Kashif Siddiq,5,0,Imo,22,5,"Darmstadt, Germany",nill,1,"Thank you so much Kashif - I had the best stay in Islamabad.
I came from Germany with my family and we booked the whole house. I personally stayed at the studio apartment, which is in the ground floor. Everything was perfect. The equipment is very modern and great attention was paid to cleanliness. You will get anything, what you need from Kashif or the caretaker of the house. I would love to come back and can highly recommend this accommodation.",medium
